,city,latitude,longitude,weekly_temp,weekly_temp_feels_like,weekly_wind_speed,weekly_humidity,weekly_main_weather,avg_weekly_temp_feels_like,main_weather,Rank
25,Aigues Mortes,43.5658,4.1913,"[32.88, 28.89, 29.71, 28.42, 28.7, 33.31, 34.05]","[30.97, 28.58, 29.58, 29.15, 29.62, 32.54, 33.18]","[7.67, 6.73, 6.91, 5.83, 5.21, 4.43, 5.17]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",30.517142857142858,Clouds,25
27,Collioure,42.5251,3.0832,"[32.69, 26.75, 29.3, 29.2, 32.02, 34.51, 32.3]","[31.14, 27.08, 29.93, 29.32, 33.28, 33.79, 32.53]","[4.7, 3.84, 5.07, 3.34, 4.6, 3.46, 4.85]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clear', 'Clear', 'Clear', 'Clouds']",31.009999999999998,Clear,26
15,Grenoble,45.1876,5.7358,"[27.72, 29.79, 30.23, 34.21, 36.81, 33.23, 33.14]","[28.39, 29.45, 29.05, 32.28, 34.69, 32, 32.03]","[3.57, 3, 3.03, 2.09, 2.35, 2.99, 2.92]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clear', 'Clear']",31.12714285714286,Clear,27
3,Le Havre,49.4939,0.108,"[21.83, 24.14, 26.16, 22.41, 20.56, 21.95, 24.26]","[21.58, 24.12, 26.16, 22.4, 20.34, 21.61, 23.89]","[8.37, 7.81, 4.99, 5.94, 6.59, 5.52, 5.12]","[0, 0, 0, 0, 0, 0, 0]","['Clouds', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",22.871428571428567,Clouds,28
21,Aix en Provence,43.5298,5.4475,"[31.13, 31.83, 32.27, 32.44, 34.41, 37.81, 35.24]","[30.8, 30.52, 30.89, 31.59, 32.62, 35.36, 34.05]","[5.63, 5.56, 5.48, 4.9, 4.8, 6.56, 4.29]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clear']",32.261428571428574,Clear,29
23,Uzes,44.0121,4.4197,"[30.71, 31.78, 34.41, 37.32, 37.66, 38.41, 37.61]","[28.96, 30.1, 32.4, 34.72, 35.66, 35.85, 35.02]","[10.14, 6.44, 6.35, 7.18, 7.13, 7.36, 7.81]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",33.244285714285716,Clouds,30
24,Nimes,43.8374,4.3601,"[31.97, 32.75, 35.03, 36.87, 36.64, 39.38, 38.55]","[30.29, 30.92, 33.08, 34.76, 35.31, 36.71, 35.85]","[9.37, 6.3, 4.7, 6.62, 6.43, 5.87, 7.21]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",33.84571428571429,Clouds,31
22,Avignon,43.9492,4.8059,"[31.48, 33.26, 35.03, 37.39, 38.11, 38.54, 38.02]","[30.46, 31.78, 32.86, 35.05, 36.38, 35.99, 35.59]","[9.82, 8.58, 6.33, 7.4, 7.7, 9.09, 8.51]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clouds', 'Clouds']",34.01571428571428,Clouds,32
31,Montauban,44.0176,1.355,"[30.28, 34.94, 36.45, 39.59, 37.78, 39.15, 41.66]","[28.54, 33.23, 35.07, 36.93, 35.47, 36.47, 38.89]","[4.11, 3.86, 3.64, 4.48, 5.37, 5.27, 4.56]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",34.94285714285714,Clouds,33
30,Toulouse,43.6045,1.4442,"[29.97, 35.54, 36.43, 39.93, 37.97, 38.87, 41.59]","[28.88, 33.53, 34.7, 37.1, 35.53, 36.34, 38.57]","[3.59, 3.78, 4.54, 4.6, 5.19, 4.85, 4.81]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",34.95,Clouds,34
28,Carcassonne,43.213,2.3491,"[32.32, 34.82, 35.93, 36.87, 38.69, 39.65, 42.38]","[31.06, 32.96, 34.42, 34.9, 36.15, 36.99, 39.37]","[4.57, 6.26, 3.17, 5.48, 5.76, 5.63, 5.51]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clear', 'Clouds', 'Clear', 'Clouds']",35.121428571428574,Clear,35
